#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
7.486392,12,73.690324
-1.299552,4,73.790756
9.633112,11,74.046425
2.634943,5,74.16578
0.0,6,74.375649
9.0,9,74.69108
0.0,6,74.911542
8.615844,10,75.225711
-1.0,5,75.363019
0.0,7,75.576781
-3.356173,4,75.71971
-1.372771,6,75.898957
-1.372771,6,76.12991
9.0,9,76.369157
7.29705,10,76.591419
-0.449307,7,76.738481
8.681208,10,76.96893
9.0,9,77.143545
-1.446814,7,77.359809
0.0,6,77.596848
-2.370348,6,77.803872
9.0,9,78.192529
9.0,10,78.642687
-1.447446,7,78.800209
-1.0,6,78.956443
-0.838242,9,79.25668
8.287469,11,79.808636
9.0,10,80.085929
9.0,9,80.381136
-1.691921,6,80.558563
-1.372771,6,80.796395
-2.365057,5,80.979463
-2.382567,7,81.249143
-1.299552,4,81.377458
8.617423,10,81.571154
-1.318719,6,81.87498
-2.0,4,81.984696
-1.372771,6,82.143933
0.0,6,82.345592
7.115015,12,82.777894
0.0,6,82.970291
-1.0,6,83.208307
-2.729703,7,83.464973
9.0,9,83.788111
-2.370348,6,83.988154
-2.22268,5,84.130584
0.0,5,84.278455
8.28598,11,84.657924
4.961891,13,85.17641
8.617423,10,85.518126
-1.0,5,85.692388
-2.436558,6,85.884447
8.285894,11,86.281535
-1.446814,7,86.569237
9.0,9,86.848085
-0.31878,7,87.012238
9.0,10,87.247032
7.626732,9,87.512456
-2.0,4,87.589934
7.617435,10,88.009114
4.03677,13,88.60016
-3.316297,4,88.760912
6.253273,10,89.20872
-0.57992,5,89.344642
0.0,6,89.686331
7.259887,10,90.098049
5.468407,13,90.477041
1.0,7,90.652395
-2.0,4,90.782556
-1.372771,6,90.95557
8.0,9,91.140865
9.288066,12,91.465214
-1.0,5,91.60012
0.0,6,91.758279
0.0,6,91.991521
-2.51166,7,92.19236
-1.318719,6,92.41331
-2.0,6,92.574718
0.316264,7,92.781516
8.62673,10,93.111118
-1.446814,7,93.319585
9.0,9,93.549747
-1.0,6,93.77756
-1.511731,8,93.969609
0.041161,7,94.192117
8.617423,10,94.387178
8.616025,10,94.588028
9.0,9,94.967868
-2.318366,5,95.117877
4.950736,13,95.626337
9.0,9,95.927099
10.0,10,96.249695
6.931708,11,96.471436
7.23142,11,96.799025
-1.379585,6,97.020023
-0.299923,5,97.205552
-1.379585,6,97.500779
9.0,10,97.833974
-1.366575,6,98.047405
7.237511,10,98.410532
0.0,6,98.562797
9.0,9,98.971524
-1.0,6,99.151979
10.0,10,99.408745
-3.0,3,99.475204
-0.841249,5,99.661398
-1.366575,6,99.93575
9.0,9,100.248005
0.0,6,100.417026
7.299766,10,100.855162
9.0,9,101.130532
-1.94673,5,101.356021
-2.0,5,101.509347
7.61852,9,101.752552
9.0,9,101.99111
8.0,9,102.433179
0.0,6,102.617255
8.0,8,102.895288
7.549949,10,103.285554
9.0,9,103.60489
7.562943,10,103.828226
-0.524508,10,104.193224
10.0,11,104.65403
