#{"t_start": 1753288312.887274, "env_id": "highway-fast-v0"}
r,l,t
1.6,3,42.401471
22.17701,25,42.689292
17.432082,23,42.962
11.179779,14,43.124572
12.379779,14,43.290057
7.012536,9,43.400335
4.899377,7,43.483348
2.466045,4,43.534986
2.666667,4,43.585588
12.346173,15,43.766705
7.498756,10,43.884382
7.133333,9,43.993118
3.845829,5,44.055281
1.749108,3,44.094952
15.55226,20,44.331333
9.866681,12,44.472334
17.086445,19,44.694942
10.485973,12,44.835458
23.035993,30,45.185932
17.333332,25,45.480453
19.681554,28,45.824497
5.733333,8,45.919642
4.0,6,45.991421
6.099377,8,46.087634
2.666667,4,46.137835
3.532711,5,46.199693
19.032089,23,46.46915
20.031817,28,46.798996
2.880129,4,46.856075
23.101732,30,47.23035
11.066044,14,47.397471
18.366667,23,47.697951
5.046452,6,47.774317
25.8,30,48.147993
2.432711,4,48.198262
21.753555,30,48.550657
24.453554,30,48.935583
14.086445,17,49.137186
3.533333,5,49.19958
19.032666,25,49.489726
5.866667,8,49.589135
4.4,6,49.676627
24.586265,30,50.134209
5.979825,8,50.264421
3.446796,5,50.341745
22.4,30,50.698576
1.7,3,50.738543
13.898766,19,50.960867
15.280126,20,51.213622
13.398755,17,51.438869
5.832711,8,51.545361
3.432711,5,51.609048
23.520221,30,51.958276
6.219592,9,52.070778
17.869329,26,52.376104
3.533333,5,52.438829
15.532088,21,52.683695
7.399377,10,52.803529
1.6,3,52.843323
0.966045,2,52.871912
3.448486,5,52.93394
6.380129,8,53.033538
7.478684,9,53.142468
8.919871,12,53.291823
12.0,16,53.490302
13.579203,17,53.707394
4.199377,6,53.78154
6.248486,8,53.879833
6.433333,9,53.997413
3.782442,5,54.066473
7.2,10,54.201061
3.649108,5,54.271049
22.986264,30,54.63863
2.399377,4,54.692729
2.566044,4,54.748424
10.365421,13,54.911007
6.833333,9,55.020569
19.266667,25,55.332436
5.066667,7,55.418728
13.879779,16,55.690172
20.420221,30,56.087809
8.733333,11,56.218583
21.419598,30,56.576309
3.117558,5,56.638783
16.0,21,56.910624
5.266667,7,57.006119
20.420221,30,57.377074
3.666667,5,57.443049
22.486888,30,57.793435
3.2,5,57.854346
6.219764,8,57.949286
18.932983,24,58.232092
14.018307,17,58.431635
14.766359,19,58.654359
2.533333,4,58.705391
14.8,18,58.920076
1.6,3,58.959233
5.233333,7,59.044894
8.032711,11,59.176319
22.153555,30,59.549185
26.0,30,59.915556
16.779779,18,60.133792
23.466667,28,60.465995
8.133333,11,60.608396
16.7,21,60.860307
12.2,15,61.038258
8.733333,11,61.172832
3.533333,5,61.237555
16.666667,20,61.474449
22.486888,30,63.511505
6.533333,9,63.622533
9.599377,12,63.769238
6.0,8,63.865166
25.0,30,64.212595
2.4,4,64.261813
5.4,7,64.347664
2.4,4,64.399886
20.153555,30,64.766936
8.8,12,64.912589
9.6,13,65.067052
10.033333,13,65.222061
11.7,15,65.398873
6.4,9,65.505969
16.933333,22,65.769119
5.799377,8,65.872081
9.732711,12,66.018937
3.2,5,66.079804
16.533333,20,66.319779
4.333333,6,66.392343
7.613112,9,66.498009
2.666667,4,66.54689
12.0,16,66.743844
4.933333,7,66.836182
2.533333,4,66.89598
3.533333,5,66.963135
10.466667,13,67.118719
8.066044,11,67.262626
8.0,10,67.385049
16.933333,22,67.670071
22.13338,30,68.020286
11.2,15,68.195467
12.886431,16,68.399201
13.333333,17,68.658617
22.553555,30,69.008288
15.166044,19,69.313125
4.133333,6,69.4154
23.432088,28,69.751682
4.4,6,69.831395
5.6,8,69.943064
9.313118,12,70.110799
4.619779,6,70.193107
8.0,11,70.330615
2.533333,4,70.386683
22.886888,30,70.772728
4.0,6,70.847639
8.0,10,70.968994
11.466667,14,71.13205
5.033333,7,71.218079
4.4,6,71.294159
3.2,5,71.356271
18.646445,21,71.615594
10.466044,13,71.785624
25.220221,30,72.156132
1.6,3,72.202234
6.533333,9,72.316576
5.599377,8,72.416754
6.313112,7,72.501785
15.333333,20,72.739179
18.966044,24,73.01753
22.4,29,73.353915
26.0,30,73.723385
25.0,30,74.064144
4.0,6,74.139645
25.0,30,74.483579
11.899377,15,74.662598
15.398755,19,74.886968
19.032711,23,75.161285
7.117558,10,75.284805
13.332711,17,75.48503
11.333333,14,75.653423
3.533333,5,75.718268
9.6,13,75.878144
4.2,6,75.953878
24.352926,30,76.307044
14.8,18,76.525177
22.686882,30,76.926095
25.0,30,77.303835
25.199377,30,77.660425
11.2,15,77.836524
14.2,18,78.044924
13.066667,16,78.230755
12.179779,14,78.39883
8.733333,11,78.530127
10.466667,13,78.694305
12.2,15,78.882842
18.732711,24,79.171693
22.353555,30,79.532675
23.220221,30,79.911381
6.266667,8,80.011421
10.466667,13,80.171534
5.733333,8,80.269501
24.333333,29,80.607753
18.5,23,80.882612
3.2,5,80.945688
