#{"t_start": 1753289101.764769, "env_id": "highway-fast-v0"}
r,l,t
1.086334,2,30.832415
4.812194,6,30.906168
1.313463,2,30.93253
8.512532,11,31.06448
2.746174,4,31.114573
1.913001,3,31.152881
5.719211,7,31.240173
4.846446,6,31.314527
3.248537,5,31.376292
5.119317,6,31.449793
7.153112,8,31.546487
7.679312,9,31.656797
7.713112,9,31.767772
3.97978,5,31.829073
7.878686,9,31.936361
4.012656,5,31.998895
2.548486,4,32.04797
7.313112,8,32.144585
8.153112,9,32.252651
1.980129,3,32.290684
6.519316,8,32.386314
4.17982,5,32.448311
2.779507,4,32.498708
9.049062,11,32.632576
2.113158,3,32.670619
17.71433,20,32.905563
1.879667,3,32.94247
3.446796,5,33.003959
4.851909,6,33.077905
4.646446,6,33.152802
1.980129,3,33.191589
8.766316,10,33.310864
6.381619,8,33.407274
5.679157,7,33.490859
4.645982,6,33.563115
6.585359,9,33.671651
11.645983,13,33.827184
7.153112,9,33.935546
6.012018,7,34.021612
6.51253,8,34.1205
8.445824,10,34.240618
6.513112,8,34.338466
9.713112,11,34.468232
4.685969,6,34.542405
2.313158,3,34.580355
7.313112,9,34.688932
5.811706,7,34.773794
14.577428,16,34.966521
3.945981,5,35.027362
2.820175,5,35.089317
7.779779,9,35.199154
4.596867,6,35.272665
6.645975,8,35.370737
4.84598,6,35.446245
5.779197,7,35.532327
3.845989,5,35.594541
9.679779,11,35.727476
6.685501,8,35.823702
3.879785,5,35.885642
16.945501,20,36.120487
12.044923,14,36.286627
8.264004,10,36.40728
1.698799,3,36.444519
4.046452,5,36.507514
10.353112,12,36.653126
4.532711,6,36.725571
2.153097,3,36.763172
5.55249,7,36.850843
4.879308,6,36.924996
13.585125,18,37.139122
8.046445,9,37.246063
1.879667,3,37.2851
3.479507,5,37.347267
9.71264,11,37.479106
14.946278,17,37.680788
2.082137,3,37.71989
6.765387,8,37.816299
3.913158,5,37.878559
3.951661,5,37.940714
1.879667,3,37.980177
13.279307,14,38.147565
7.579307,9,38.254697
1.885597,3,38.293355
4.078822,6,38.367911
