#{"t_start": 1753299347.2843719, "env_id": "intersection-v0"}
r,l,t
9.0,9,56.256023
6.871769,13,56.51782
6.178629,10,56.776664
0.0,6,56.894113
-1.318719,5,57.031119
10.0,10,57.312709
-1.372771,6,57.401545
10.0,10,57.562479
-0.299923,5,57.69684
0.0,6,57.83743
-2.0,9,58.061703
-3.316297,4,58.151204
-1.0,5,58.271259
8.615844,10,58.46176
-1.0,5,58.585432
8.0,10,58.845781
-2.0,4,58.932778
8.62673,10,59.170092
9.0,9,59.379661
-2.318366,6,59.450695
-2.370348,6,59.563202
0.0,6,59.697327
8.615645,10,59.917349
6.10209,13,60.224316
1.615917,9,60.428277
7.562943,10,60.708696
-1.0,5,60.826997
-1.0,6,60.971126
9.0,9,61.111318
7.486392,12,61.379514
0.0,6,61.527171
5.534088,12,61.774085
7.552044,11,62.0346
7.681208,10,62.208835
-2.752453,8,62.354624
-1.0,5,62.432528
8.229218,12,62.663494
0.0,6,62.79288
8.0,8,62.901446
9.0,9,63.049422
6.167618,12,63.232894
-2.4629,8,63.378642
-1.52669,10,63.59239
-2.337615,9,63.993065
7.616072,9,64.171388
9.616017,11,64.473539
-1.460526,8,64.696677
9.0,9,64.878541
-0.57992,5,64.993625
8.475491,13,65.245797
9.0,9,65.449068
-2.687862,7,65.660312
-1.0,5,65.756705
-2.0,6,65.888095
8.62673,10,66.215141
7.353108,10,66.439113
9.0,9,66.605974
-0.841249,5,66.714679
6.525504,11,66.966982
-1.379585,6,67.068187
-1.318719,6,67.187673
8.0,9,67.3127
8.633113,10,67.56701
-1.0,4,67.667824
9.0,9,67.800948
5.859478,12,68.029002
-1.222746,6,68.192147
-1.84084,4,68.299041
8.681208,10,68.477135
6.633121,11,68.809207
-0.373185,7,68.985037
7.633114,9,69.173949
7.626732,9,69.416851
8.616025,10,69.698532
6.353119,9,69.850448
8.231527,12,70.05854
9.0,9,70.220661
5.982094,10,70.422555
0.0,5,70.555497
-2.318366,6,70.661132
-3.0,5,70.746637
-1.758908,7,70.874958
1.0,7,70.995031
7.353108,10,71.265964
-1.84084,4,71.3931
0.0,6,71.545669
1.0,7,71.688292
10.0,10,71.974332
7.616072,10,72.149266
-1.0,5,72.317272
-2.0,8,72.454754
0.0,6,72.573966
4.890378,13,72.796633
3.0,9,72.987714
9.0,9,73.165938
8.62673,10,73.371296
8.0,9,73.5737
10.0,10,73.847432
9.0,9,74.021867
7.681208,9,74.203158
0.0,6,74.386008
9.0,9,74.613433
4.910705,11,74.929563
7.61852,9,75.221328
1.626732,9,75.460338
-0.963021,6,75.587682
-1.379585,6,75.758221
8.525824,13,76.015822
7.552044,10,76.228742
7.62673,10,76.426558
8.0,8,76.650331
8.616025,10,76.90365
9.618511,11,77.173266
9.0,9,77.41296
5.0,6,77.524725
-1.0,5,77.677105
7.29705,10,77.936111
-1.379585,5,78.034328
1.0,7,78.187229
9.615573,11,78.272928
0.0,6,78.40739
6.527788,11,78.62079
-0.958767,6,78.794344
0.0,6,78.983902
-1.318719,7,79.085214
8.633113,10,79.270458
0.0,7,79.403869
-1.737463,9,79.601135
8.0,9,79.785521
9.0,9,80.000002
9.0,9,80.096914
9.0,9,80.257399
7.615917,9,80.491614
0.700013,6,80.612716
-0.373185,7,80.834306
1.0,7,81.023664
-1.0,5,81.202274
-1.366575,6,81.30983
-3.0,3,81.405438
8.616025,10,81.590442
1.0,7,81.790004
10.0,10,82.02982
10.0,10,82.228318
9.0,10,82.473849
7.617435,10,82.731282
-1.0,5,82.782992
7.62673,10,83.038177
-0.841249,5,83.12428
7.615917,9,83.24254
8.615844,10,83.452006
-2.0,4,83.562335
-1.0,5,83.658562
9.0,9,83.912077
7.61852,9,84.156978
-0.57992,5,84.294119
-1.0,5,84.412269
-2.0,4,84.550893
-0.57992,5,84.625539
0.0,6,84.778818
1.0,7,84.904765
7.552044,12,85.217577
8.0,10,85.447094
-1.0,5,85.562895
7.61852,9,85.77967
0.0,6,85.942697
5.470242,13,86.224142
8.633113,10,86.409979
-1.366575,6,86.515411
0.0,6,86.606488
9.0,9,86.835905
9.0,9,86.999035
1.0,6,87.167514
8.550182,11,87.486629
7.615917,9,87.657722
8.616025,10,87.785533
9.0,9,87.970066
-1.701706,7,88.142726
0.0,6,88.234796
0.0,5,88.307339
0.0,6,88.441922
1.0,7,88.62104
10.0,10,88.831787
0.0,6,88.987432
8.681208,10,89.152361
8.615645,10,89.451461
7.250792,10,89.618187
7.681208,9,89.768068
-5.0,1,89.819947
9.0,9,90.002361
-1.0,5,90.11305
8.314321,11,90.309032
-1.524421,8,90.521103
-1.372771,6,90.652008
7.615917,9,90.903924
-1.299552,4,90.979286
-1.379585,6,91.133274
9.0,9,91.326589
1.0,7,91.404929
0.0,6,91.548945
10.0,10,91.721526
-1.0,5,91.775635
-2.0,4,91.88822
-1.379585,5,91.99861
7.552807,10,92.246477
-1.0,5,92.37336
-2.0,4,92.496948
9.0,9,92.642477
7.61852,9,92.814814
9.617421,11,93.094261
0.0,6,93.256958
8.681208,10,93.455513
9.0,9,93.624507
10.0,10,93.921678
7.615917,9,94.04549
9.0,9,94.262264
9.0,9,94.397399
1.0,7,94.516898
10.0,10,94.787132
-1.366575,6,94.868924
8.615844,10,95.110999
0.0,6,95.302396
10.0,10,95.513757
-1.0,5,95.651311
9.0,9,95.888677
0.0,5,95.983565
9.0,9,96.10382
-0.382068,7,96.310792
0.0,6,96.449205
9.0,9,96.681761
9.0,9,96.86534
8.0,8,96.99148
10.0,10,97.295621
0.0,6,97.410151
7.231573,11,97.746071
7.626732,9,97.96339
-1.675491,5,98.081965
0.0,6,98.195594
9.0,9,98.46119
8.0,8,98.608032
7.550194,10,98.820181
9.616017,11,99.160432
0.0,6,99.312274
10.0,10,99.543387
0.0,6,99.648368
0.0,6,99.788969
-1.0,5,99.907502
9.0,9,100.049935
9.0,9,100.212055
-1.0,5,100.359772
-0.299923,5,100.472126
0.0,6,100.588622
0.0,6,100.755937
-4.0,2,100.802893
-1.0,5,100.948894
7.172401,11,101.183595
9.0,9,101.349207
0.0,5,101.438385
-1.0,5,101.538085
9.0,9,101.625919
0.0,6,101.698466
9.0,9,101.899867
10.0,10,102.20282
7.626732,9,102.507525
9.0,9,102.673871
10.0,10,102.892671
-2.0,4,102.964713
7.61852,9,103.173439
8.243919,11,103.437422
0.0,6,103.556732
9.0,9,103.780937
9.0,9,104.002607
9.0,9,104.168749
0.0,6,104.333064
9.0,9,104.465631
2.42,8,104.55957
8.0,9,104.689326
7.0,9,104.982873
9.0,9,105.161592
10.0,10,105.338437
9.62673,11,105.685493
9.0,9,105.902751
9.0,9,106.068261
0.158681,6,106.210851
-1.0,5,106.286503
0.0,6,106.444659
10.0,10,106.667779
9.0,9,106.91428
0.0,6,107.057967
-1.372771,6,107.213856
-1.0,5,107.352405
10.0,10,107.602979
-1.0,5,107.758615
-2.365057,6,107.90453
10.0,10,108.082281
9.0,9,108.295006
-1.0,5,108.404723
-0.299923,5,108.474926
0.0,5,108.569772
6.538975,10,108.766781
10.0,10,108.975467
10.0,10,109.202992
9.0,9,109.406534
9.0,9,109.548317
-0.57992,5,109.672336
-2.0,6,109.828355
8.0,8,109.977085
0.0,6,110.154828
9.0,9,110.411965
-1.57953,4,110.519396
9.0,9,110.665186
0.0,6,110.80759
8.0,8,111.027501
-2.0,4,111.116562
0.0,6,111.273353
-1.208208,6,111.402971
-1.0,5,111.568956
-2.365057,5,111.7063
0.0,6,111.886811
10.0,10,112.110544
-1.0,4,112.201071
7.615917,9,112.372087
-1.0,6,112.487492
0.0,6,112.675526
9.0,9,112.922715
10.0,10,113.24498
9.0,9,113.404166
-2.0,4,113.499197
-1.0,5,113.605743
-1.0,5,113.690052
-2.0,4,113.82447
9.0,9,114.060583
