#{"t_start": 1753301393.756704, "env_id": "highway-fast-v0"}
r,l,t
21.677094,29,43.564995
15.097297,20,43.814906
9.828501,13,43.968543
1.067404,2,43.996071
7.114576,10,44.114626
2.76573,4,44.164696
7.230417,10,44.286225
15.079244,21,44.5364
4.565781,7,44.625424
21.866711,30,45.000349
22.482167,30,45.406381
21.719864,30,45.790782
4.253246,7,45.875456
8.065673,10,45.994112
11.680043,16,46.183168
5.120221,8,46.285212
3.879203,5,46.357512
1.919667,3,46.40292
4.515775,6,46.488634
7.315781,11,46.638594
20.885912,30,47.023091
7.112179,10,47.142224
1.846796,3,47.182989
4.632768,7,47.270091
21.585417,30,47.669635
21.117813,30,48.051057
3.386497,5,48.11233
8.812647,12,48.273244
16.910857,23,48.594226
7.564502,11,48.746048
4.853246,8,48.852983
8.011722,10,48.989235
6.68157,10,49.112789
3.446796,5,49.178306
3.619036,5,49.240695
7.365477,10,49.361411
3.232711,5,49.424371
5.079307,6,49.500049
21.484492,30,49.937253
7.984349,11,50.08922
2.013001,3,50.133333
8.878663,12,50.299169
1.880129,3,50.340984
7.845053,10,50.474584
24.585337,30,50.830678
3.732526,5,50.895211
20.078506,28,51.230186
7.650723,11,51.671855
23.218309,30,52.074179
2.631021,4,52.127668
21.453554,30,52.501079
14.435996,19,52.730517
13.06701,16,52.931439
4.348436,6,53.006388
1.832045,3,53.046712
22.032819,30,53.399417
4.129737,5,53.460616
1.981819,3,53.499179
21.118665,30,53.861864
2.433333,4,53.912746
12.217158,17,54.125966
20.586888,30,54.475096
6.247611,9,54.584064
8.434758,13,54.740616
20.76843,30,55.088633
22.851333,30,55.444352
5.401688,8,55.539874
1.313463,2,55.567636
21.51956,30,55.922828
22.951446,30,56.277702
8.898771,13,56.431349
5.733029,8,56.528155
21.167204,30,56.880661
22.311599,29,57.221975
7.112183,9,57.32828
21.964076,30,57.676784
7.297734,10,57.797309
6.713509,9,57.903733
7.835994,12,58.045925
21.434487,30,58.396973
21.947614,29,58.735151
20.032893,25,59.041731
9.846487,12,59.209543
